---------------------------------------------------------------------------------------------------
Date: 6/15/2026 -- 08:17:16 (uptime: 0d, 00h 00m 08s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 13
capture.afpacket.polls                                       | Total                     | 912
capture.afpacket.poll_timeout                                | Total                     | 902
capture.afpacket.poll_data                                   | Total                     | 10
decoder.pkts                                                 | Total                     | 13
decoder.bytes                                                | Total                     | 1130
decoder.ipv6                                                 | Total                     | 8
decoder.ethernet                                             | Total                     | 13
decoder.arp                                                  | Total                     | 5
decoder.icmpv6                                               | Total                     | 8
decoder.avg_pkt_size                                         | Total                     | 86
decoder.max_pkt_size                                         | Total                     | 150
flow.total                                                   | Total                     | 2
flow.active                                                  | Total                     | 2
flow.icmpv6                                                  | Total                     | 2
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 2
decoder.event.ipv6.zero_len_padn                             | Total                     | 8
flow.mgr.rows_per_sec                                        | Total                     | 9175
flow.spare                                                   | Total                     | 9800
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 2
flow.mgr.flows_notimeout                                     | Total                     | 2
memcap.pressure                                              | Total                     | 14
memcap.pressure_max                                          | Total                     | 14
defrag.memuse                                                | Total                     | 33554432
tcp.memuse                                                   | Total                     | 9961472
tcp.reassembly_memuse                                        | Total                     | 1835008
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
Date: 6/15/2026 -- 08:17:24 (uptime: 0d, 00h 00m 16s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 13
capture.afpacket.polls                                       | Total                     | 2337
capture.afpacket.poll_timeout                                | Total                     | 2327
capture.afpacket.poll_data                                   | Total                     | 10
decoder.pkts                                                 | Total                     | 13
decoder.bytes                                                | Total                     | 1130
decoder.ipv6                                                 | Total                     | 8
decoder.ethernet                                             | Total                     | 13
decoder.arp                                                  | Total                     | 5
decoder.icmpv6                                               | Total                     | 8
decoder.avg_pkt_size                                         | Total                     | 86
decoder.max_pkt_size                                         | Total                     | 150
flow.total                                                   | Total                     | 2
flow.active                                                  | Total                     | 2
flow.icmpv6                                                  | Total                     | 2
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 2
decoder.event.ipv6.zero_len_padn                             | Total                     | 8
flow.mgr.full_hash_pass                                      | Total                     | 2
flow.mgr.rows_per_sec                                        | Total                     | 9175
flow.spare                                                   | Total                     | 9800
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 2
flow.mgr.flows_notimeout                                     | Total                     | 2
memcap.pressure                                              | Total                     | 14
memcap.pressure_max                                          | Total                     | 14
defrag.memuse                                                | Total                     | 33554432
tcp.memuse                                                   | Total                     | 9961472
tcp.reassembly_memuse                                        | Total                     | 1835008
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
Date: 6/15/2026 -- 08:17:32 (uptime: 0d, 00h 00m 24s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 13
capture.afpacket.polls                                       | Total                     | 3284
capture.afpacket.poll_timeout                                | Total                     | 3274
capture.afpacket.poll_data                                   | Total                     | 10
decoder.pkts                                                 | Total                     | 13
decoder.bytes                                                | Total                     | 1130
decoder.ipv6                                                 | Total                     | 8
decoder.ethernet                                             | Total                     | 13
decoder.arp                                                  | Total                     | 5
decoder.icmpv6                                               | Total                     | 8
decoder.avg_pkt_size                                         | Total                     | 86
decoder.max_pkt_size                                         | Total                     | 150
flow.total                                                   | Total                     | 2
flow.active                                                  | Total                     | 2
flow.icmpv6                                                  | Total                     | 2
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 2
decoder.event.ipv6.zero_len_padn                             | Total                     | 8
flow.mgr.full_hash_pass                                      | Total                     | 3
flow.mgr.rows_per_sec                                        | Total                     | 9175
